,uuid,study_started_time,study_agreement_time,gridanswers_time,susanswers_time,study_started,study_agreement,susanswers_submited,grid_submited,study_completed,campaign,mobile,screen_size,map_version,study_question,grid_answers,sus_answers,index,innerWidth,innerHeight,availWidth,availHeight,submitted_sus_sus-question-1,submitted_sus_sus-question-10,submitted_sus_sus-question-2,submitted_sus_sus-question-3,submitted_sus_sus-question-4,submitted_sus_sus-question-5,submitted_sus_sus-question-6,submitted_sus_sus-question-7,submitted_sus_sus-question-8,submitted_sus_sus-question-9,percent-correct
0,4130749875-85631919-32943634-4247279750,2020-02-11T14:20:34.103Z,2020-02-11T14:20:48.156Z,2020-02-11T14:22:07.471Z,2020-02-11T14:23:17.408Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1920,""innerHeight"":968,""availWidth"":1920,""availHeight"":1050}",1,1,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":0},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":0},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":32},{""key"":""grid-box-31"",""value"":31},{""key"":""grid-box-30"",""value"":30},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":0},{""key"":""grid-box-25"",""value"":25},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":22},{""key"":""grid-box-21"",""value"":21},{""key"":""grid-box-20"",""value"":0},{""key"":""grid-box-19"",""value"":19},{""key"":""grid-box-18"",""value"":18},{""key"":""grid-box-17"",""value"":17},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":14},{""key"":""grid-box-13"",""value"":13},{""key"":""grid-box-12"",""value"":12},{""key"":""grid-box-11"",""value"":11},{""key"":""grid-box-10"",""value"":10},{""key"":""grid-box-9"",""value"":9},{""key"":""grid-box-8"",""value"":8},{""key"":""grid-box-7"",""value"":7},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":0},{""key"":""grid-box-4"",""value"":0},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":3},{""key"":""sus-question-2"",""questionAnswer"":3},{""key"":""sus-question-3"",""questionAnswer"":5},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":4},{""key"":""sus-question-6"",""questionAnswer"":3},{""key"":""sus-question-7"",""questionAnswer"":4},{""key"":""sus-question-8"",""questionAnswer"":3},{""key"":""sus-question-9"",""questionAnswer"":5},{""key"":""sus-question-10"",""questionAnswer"":1}]",0,1920.0,968.0,1920.0,1050.0,3,1,3,5,1,4,3,4,3,5,78.57142857142857
1,1723945407-755444427-922058187-3105466532,2020-02-11T14:22:40.945Z,2020-02-11T14:23:07.843Z,2020-02-11T14:24:26.449Z,2020-02-11T14:25:18.004Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1533,""innerHeight"":718,""availWidth"":1920,""availHeight"":1040}",2,0,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":0},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":34},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":0},{""key"":""grid-box-31"",""value"":0},{""key"":""grid-box-30"",""value"":0},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":28},{""key"":""grid-box-27"",""value"":27},{""key"":""grid-box-26"",""value"":0},{""key"":""grid-box-25"",""value"":0},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":22},{""key"":""grid-box-21"",""value"":21},{""key"":""grid-box-20"",""value"":20},{""key"":""grid-box-19"",""value"":0},{""key"":""grid-box-18"",""value"":0},{""key"":""grid-box-17"",""value"":17},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":14},{""key"":""grid-box-13"",""value"":0},{""key"":""grid-box-12"",""value"":0},{""key"":""grid-box-11"",""value"":0},{""key"":""grid-box-10"",""value"":0},{""key"":""grid-box-9"",""value"":0},{""key"":""grid-box-8"",""value"":0},{""key"":""grid-box-7"",""value"":0},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":0},{""key"":""grid-box-4"",""value"":0},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":3},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":4},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":3},{""key"":""sus-question-6"",""questionAnswer"":2},{""key"":""sus-question-7"",""questionAnswer"":4},{""key"":""sus-question-8"",""questionAnswer"":2},{""key"":""sus-question-9"",""questionAnswer"":5},{""key"":""sus-question-10"",""questionAnswer"":1}]",1,1533.0,718.0,1920.0,1040.0,3,1,1,4,1,3,2,4,2,5,95.23809523809523
2,2121315751-968787463-2438435421-1001255746,2020-02-11T14:38:44.595Z,2020-02-11T14:38:44.810Z,2020-02-11T14:40:01.033Z,2020-02-11T14:41:21.421Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1920,""innerHeight"":969,""availWidth"":1920,""availHeight"":1040}",2,0,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":0},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":34},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":0},{""key"":""grid-box-31"",""value"":0},{""key"":""grid-box-30"",""value"":0},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":28},{""key"":""grid-box-27"",""value"":27},{""key"":""grid-box-26"",""value"":0},{""key"":""grid-box-25"",""value"":0},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":0},{""key"":""grid-box-21"",""value"":21},{""key"":""grid-box-20"",""value"":20},{""key"":""grid-box-19"",""value"":0},{""key"":""grid-box-18"",""value"":0},{""key"":""grid-box-17"",""value"":0},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":0},{""key"":""grid-box-13"",""value"":0},{""key"":""grid-box-12"",""value"":0},{""key"":""grid-box-11"",""value"":0},{""key"":""grid-box-10"",""value"":0},{""key"":""grid-box-9"",""value"":0},{""key"":""grid-box-8"",""value"":0},{""key"":""grid-box-7"",""value"":0},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":0},{""key"":""grid-box-4"",""value"":0},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":3},{""key"":""sus-question-2"",""questionAnswer"":3},{""key"":""sus-question-3"",""questionAnswer"":4},{""key"":""sus-question-4"",""questionAnswer"":2},{""key"":""sus-question-5"",""questionAnswer"":4},{""key"":""sus-question-6"",""questionAnswer"":2},{""key"":""sus-question-7"",""questionAnswer"":4},{""key"":""sus-question-8"",""questionAnswer"":1},{""key"":""sus-question-9"",""questionAnswer"":3},{""key"":""sus-question-10"",""questionAnswer"":2}]",2,1920.0,969.0,1920.0,1040.0,3,2,3,4,2,4,2,4,1,3,88.09523809523809
3,2343111078-164526432-2245214180-2807309318,2020-02-11T14:46:32.087Z,2020-02-11T14:46:32.249Z,2020-02-11T14:47:49.149Z,2020-02-11T14:48:59.034Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1536,""innerHeight"":712,""availWidth"":1536,""availHeight"":864}",1,0,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":0},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":32},{""key"":""grid-box-31"",""value"":31},{""key"":""grid-box-30"",""value"":30},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":26},{""key"":""grid-box-25"",""value"":25},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":22},{""key"":""grid-box-21"",""value"":0},{""key"":""grid-box-20"",""value"":20},{""key"":""grid-box-19"",""value"":19},{""key"":""grid-box-18"",""value"":18},{""key"":""grid-box-17"",""value"":17},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":14},{""key"":""grid-box-13"",""value"":13},{""key"":""grid-box-12"",""value"":12},{""key"":""grid-box-11"",""value"":11},{""key"":""grid-box-10"",""value"":10},{""key"":""grid-box-9"",""value"":9},{""key"":""grid-box-8"",""value"":8},{""key"":""grid-box-7"",""value"":7},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":5},{""key"":""grid-box-4"",""value"":4},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":4},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":4},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":4},{""key"":""sus-question-6"",""questionAnswer"":1},{""key"":""sus-question-7"",""questionAnswer"":5},{""key"":""sus-question-8"",""questionAnswer"":1},{""key"":""sus-question-9"",""questionAnswer"":4},{""key"":""sus-question-10"",""questionAnswer"":1}]",3,1536.0,712.0,1536.0,864.0,4,1,1,4,1,4,1,5,1,4,83.33333333333334
4,3801886530-108263296-116202630-21502583,2020-02-11T14:51:35.078Z,2020-02-11T14:52:01.616Z,2020-02-11T14:55:17.096Z,2020-02-11T14:56:22.261Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1850,""innerHeight"":942,""availWidth"":1850,""availHeight"":1080}",1,2,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":34},{""key"":""grid-box-33"",""value"":33},{""key"":""grid-box-32"",""value"":32},{""key"":""grid-box-31"",""value"":31},{""key"":""grid-box-30"",""value"":30},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":26},{""key"":""grid-box-25"",""value"":25},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":23},{""key"":""grid-box-22"",""value"":22},{""key"":""grid-box-21"",""value"":21},{""key"":""grid-box-20"",""value"":0},{""key"":""grid-box-19"",""value"":19},{""key"":""grid-box-18"",""value"":18},{""key"":""grid-box-17"",""value"":17},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":14},{""key"":""grid-box-13"",""value"":13},{""key"":""grid-box-12"",""value"":12},{""key"":""grid-box-11"",""value"":11},{""key"":""grid-box-10"",""value"":10},{""key"":""grid-box-9"",""value"":9},{""key"":""grid-box-8"",""value"":8},{""key"":""grid-box-7"",""value"":7},{""key"":""grid-box-6"",""value"":6},{""key"":""grid-box-5"",""value"":5},{""key"":""grid-box-4"",""value"":4},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":1},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":3},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":5},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":4},{""key"":""sus-question-6"",""questionAnswer"":3},{""key"":""sus-question-7"",""questionAnswer"":4},{""key"":""sus-question-8"",""questionAnswer"":2},{""key"":""sus-question-9"",""questionAnswer"":5},{""key"":""sus-question-10"",""questionAnswer"":1}]",4,1850.0,942.0,1850.0,1080.0,3,1,1,5,1,4,3,4,2,5,100.0
5,1393233848-4036256654-3631789502-4133460199,2020-02-11T18:33:26.429Z,2020-02-11T18:33:26.574Z,2020-02-11T18:32:46.572Z,2020-02-11T18:34:16.953Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1920,""innerHeight"":944,""availWidth"":1920,""availHeight"":1080}",1,1,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":34},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":32},{""key"":""grid-box-31"",""value"":31},{""key"":""grid-box-30"",""value"":30},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":0},{""key"":""grid-box-25"",""value"":25},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":22},{""key"":""grid-box-21"",""value"":0},{""key"":""grid-box-20"",""value"":0},{""key"":""grid-box-19"",""value"":0},{""key"":""grid-box-18"",""value"":18},{""key"":""grid-box-17"",""value"":17},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":14},{""key"":""grid-box-13"",""value"":13},{""key"":""grid-box-12"",""value"":0},{""key"":""grid-box-11"",""value"":11},{""key"":""grid-box-10"",""value"":10},{""key"":""grid-box-9"",""value"":9},{""key"":""grid-box-8"",""value"":8},{""key"":""grid-box-7"",""value"":7},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":0},{""key"":""grid-box-4"",""value"":0},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":4},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":4},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":3},{""key"":""sus-question-6"",""questionAnswer"":3},{""key"":""sus-question-7"",""questionAnswer"":4},{""key"":""sus-question-8"",""questionAnswer"":1},{""key"":""sus-question-9"",""questionAnswer"":4},{""key"":""sus-question-10"",""questionAnswer"":1}]",5,1920.0,944.0,1920.0,1080.0,4,1,1,4,1,3,3,4,1,4,76.19047619047619
6,25121918-2431056842-3644005019-3482052675,2020-02-11T18:26:37.314Z,2020-02-11T18:26:37.634Z,2020-02-11T18:39:27.719Z,2020-02-11T18:41:15.199Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1536,""innerHeight"":754,""availWidth"":1536,""availHeight"":824}",0,1,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":0},{""key"":""grid-box-39"",""value"":0},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":34},{""key"":""grid-box-33"",""value"":33},{""key"":""grid-box-32"",""value"":32},{""key"":""grid-box-31"",""value"":31},{""key"":""grid-box-30"",""value"":0},{""key"":""grid-box-29"",""value"":0},{""key"":""grid-box-28"",""value"":28},{""key"":""grid-box-27"",""value"":27},{""key"":""grid-box-26"",""value"":26},{""key"":""grid-box-25"",""value"":0},{""key"":""grid-box-24"",""value"":0},{""key"":""grid-box-23"",""value"":23},{""key"":""grid-box-22"",""value"":0},{""key"":""grid-box-21"",""value"":21},{""key"":""grid-box-20"",""value"":20},{""key"":""grid-box-19"",""value"":19},{""key"":""grid-box-18"",""value"":18},{""key"":""grid-box-17"",""value"":0},{""key"":""grid-box-16"",""value"":0},{""key"":""grid-box-15"",""value"":0},{""key"":""grid-box-14"",""value"":0},{""key"":""grid-box-13"",""value"":0},{""key"":""grid-box-12"",""value"":0},{""key"":""grid-box-11"",""value"":0},{""key"":""grid-box-10"",""value"":10},{""key"":""grid-box-9"",""value"":9},{""key"":""grid-box-8"",""value"":8},{""key"":""grid-box-7"",""value"":7},{""key"":""grid-box-6"",""value"":6},{""key"":""grid-box-5"",""value"":5},{""key"":""grid-box-4"",""value"":4},{""key"":""grid-box-3"",""value"":3},{""key"":""grid-box-2"",""value"":2},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":3},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":5},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":4},{""key"":""sus-question-6"",""questionAnswer"":1},{""key"":""sus-question-7"",""questionAnswer"":5},{""key"":""sus-question-8"",""questionAnswer"":1},{""key"":""sus-question-9"",""questionAnswer"":5},{""key"":""sus-question-10"",""questionAnswer"":1}]",6,1536.0,754.0,1536.0,824.0,3,1,1,5,1,4,1,5,1,5,100.0
7,513636475-3775535492-3287286288-876446383,2020-02-11T19:08:20.699Z,2020-02-11T19:08:20.851Z,2020-02-11T19:10:47.927Z,2020-02-11T19:11:31.303Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":2048,""innerHeight"":1042,""availWidth"":2048,""availHeight"":1112}",1,1,"[{""key"":""grid-box-42"",""value"":42},{""key"":""grid-box-41"",""value"":41},{""key"":""grid-box-40"",""value"":40},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":38},{""key"":""grid-box-37"",""value"":37},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":35},{""key"":""grid-box-34"",""value"":34},{""key"":""grid-box-33"",""value"":33},{""key"":""grid-box-32"",""value"":32},{""key"":""grid-box-31"",""value"":31},{""key"":""grid-box-30"",""value"":30},{""key"":""grid-box-29"",""value"":29},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":26},{""key"":""grid-box-25"",""value"":25},{""key"":""grid-box-24"",""value"":24},{""key"":""grid-box-23"",""value"":23},{""key"":""grid-box-22"",""value"":22},{""key"":""grid-box-21"",""value"":21},{""key"":""grid-box-20"",""value"":0},{""key"":""grid-box-19"",""value"":19},{""key"":""grid-box-18"",""value"":18},{""key"":""grid-box-17"",""value"":17},{""key"":""grid-box-16"",""value"":16},{""key"":""grid-box-15"",""value"":15},{""key"":""grid-box-14"",""value"":14},{""key"":""grid-box-13"",""value"":13},{""key"":""grid-box-12"",""value"":12},{""key"":""grid-box-11"",""value"":11},{""key"":""grid-box-10"",""value"":10},{""key"":""grid-box-9"",""value"":9},{""key"":""grid-box-8"",""value"":8},{""key"":""grid-box-7"",""value"":7},{""key"":""grid-box-6"",""value"":6},{""key"":""grid-box-5"",""value"":5},{""key"":""grid-box-4"",""value"":4},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":1},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":1},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":5},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":5},{""key"":""sus-question-6"",""questionAnswer"":1},{""key"":""sus-question-7"",""questionAnswer"":5},{""key"":""sus-question-8"",""questionAnswer"":1},{""key"":""sus-question-9"",""questionAnswer"":5},{""key"":""sus-question-10"",""questionAnswer"":1}]",7,2048.0,1042.0,2048.0,1112.0,1,1,1,5,1,5,1,5,1,5,100.0
8,1474268641-122509903-1352607370-1577681961,2020-02-11T22:24:16.962Z,2020-02-11T22:24:56.232Z,2020-02-11T22:25:18.487Z,2020-02-11T22:26:06.200Z,True,True,True,True,True,"""work""",False,"{""innerWidth"":1294,""innerHeight"":730,""availWidth"":1440,""availHeight"":807}",1,0,"[{""key"":""grid-box-42"",""value"":0},{""key"":""grid-box-41"",""value"":0},{""key"":""grid-box-40"",""value"":0},{""key"":""grid-box-39"",""value"":39},{""key"":""grid-box-38"",""value"":0},{""key"":""grid-box-37"",""value"":0},{""key"":""grid-box-36"",""value"":36},{""key"":""grid-box-35"",""value"":0},{""key"":""grid-box-34"",""value"":0},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":0},{""key"":""grid-box-31"",""value"":0},{""key"":""grid-box-30"",""value"":0},{""key"":""grid-box-29"",""value"":0},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":0},{""key"":""grid-box-25"",""value"":0},{""key"":""grid-box-24"",""value"":0},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":0},{""key"":""grid-box-21"",""value"":0},{""key"":""grid-box-20"",""value"":0},{""key"":""grid-box-19"",""value"":0},{""key"":""grid-box-18"",""value"":0},{""key"":""grid-box-17"",""value"":0},{""key"":""grid-box-16"",""value"":0},{""key"":""grid-box-15"",""value"":0},{""key"":""grid-box-14"",""value"":0},{""key"":""grid-box-13"",""value"":0},{""key"":""grid-box-12"",""value"":0},{""key"":""grid-box-11"",""value"":0},{""key"":""grid-box-10"",""value"":0},{""key"":""grid-box-9"",""value"":0},{""key"":""grid-box-8"",""value"":0},{""key"":""grid-box-7"",""value"":0},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":0},{""key"":""grid-box-4"",""value"":0},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":4},{""key"":""sus-question-2"",""questionAnswer"":1},{""key"":""sus-question-3"",""questionAnswer"":5},{""key"":""sus-question-4"",""questionAnswer"":1},{""key"":""sus-question-5"",""questionAnswer"":4},{""key"":""sus-question-6"",""questionAnswer"":2},{""key"":""sus-question-7"",""questionAnswer"":4},{""key"":""sus-question-8"",""questionAnswer"":2},{""key"":""sus-question-9"",""questionAnswer"":4},{""key"":""sus-question-10"",""questionAnswer"":1}]",8,1294.0,730.0,1440.0,807.0,4,1,1,5,1,4,2,4,2,4,16.666666666666664
9,3410056115-769860148-947348087-4080085663,2020-02-11T23:02:33.030Z,2020-02-11T23:02:33.351Z,2020-02-11T02:37:17.271Z,2020-02-11T23:02:33.446Z,True,True,True,True,True,,False,"{""innerWidth"":1243,""innerHeight"":657,""availWidth"":1280,""availHeight"":777}",1,2,"[{""key"":""grid-box-42"",""value"":0},{""key"":""grid-box-41"",""value"":0},{""key"":""grid-box-40"",""value"":0},{""key"":""grid-box-39"",""value"":0},{""key"":""grid-box-38"",""value"":0},{""key"":""grid-box-37"",""value"":0},{""key"":""grid-box-36"",""value"":0},{""key"":""grid-box-35"",""value"":0},{""key"":""grid-box-34"",""value"":0},{""key"":""grid-box-33"",""value"":0},{""key"":""grid-box-32"",""value"":0},{""key"":""grid-box-31"",""value"":0},{""key"":""grid-box-30"",""value"":0},{""key"":""grid-box-29"",""value"":0},{""key"":""grid-box-28"",""value"":0},{""key"":""grid-box-27"",""value"":0},{""key"":""grid-box-26"",""value"":0},{""key"":""grid-box-25"",""value"":0},{""key"":""grid-box-24"",""value"":0},{""key"":""grid-box-23"",""value"":0},{""key"":""grid-box-22"",""value"":0},{""key"":""grid-box-21"",""value"":0},{""key"":""grid-box-20"",""value"":0},{""key"":""grid-box-19"",""value"":0},{""key"":""grid-box-18"",""value"":0},{""key"":""grid-box-17"",""value"":0},{""key"":""grid-box-16"",""value"":0},{""key"":""grid-box-15"",""value"":0},{""key"":""grid-box-14"",""value"":0},{""key"":""grid-box-13"",""value"":0},{""key"":""grid-box-12"",""value"":0},{""key"":""grid-box-11"",""value"":0},{""key"":""grid-box-10"",""value"":0},{""key"":""grid-box-9"",""value"":0},{""key"":""grid-box-8"",""value"":0},{""key"":""grid-box-7"",""value"":0},{""key"":""grid-box-6"",""value"":0},{""key"":""grid-box-5"",""value"":0},{""key"":""grid-box-4"",""value"":0},{""key"":""grid-box-3"",""value"":0},{""key"":""grid-box-2"",""value"":0},{""key"":""grid-box-1"",""value"":0},{""key"":""grid-box-0"",""value"":0}]","[{""key"":""sus-question-1"",""questionAnswer"":0},{""key"":""sus-question-2"",""questionAnswer"":0},{""key"":""sus-question-3"",""questionAnswer"":0},{""key"":""sus-question-4"",""questionAnswer"":0},{""key"":""sus-question-5"",""questionAnswer"":0},{""key"":""sus-question-6"",""questionAnswer"":0},{""key"":""sus-question-7"",""questionAnswer"":0},{""key"":""sus-question-8"",""questionAnswer"":0},{""key"":""sus-question-9"",""questionAnswer"":0},{""key"":""sus-question-10"",""questionAnswer"":0}]",9,1243.0,657.0,1280.0,777.0,0,0,0,0,0,0,0,0,0,0,11.904761904761903
